src,in_src,out_src,dst,in_dst,out_dst,depth,bound,reachable,runtime
825178,201,155,1567140,86,82,4,4,True,1001
182918,41,422,55685809,4,250,3,3,False,24
926313,79,86,1276907,226,130,3,3,False,377
68432082,1,93,16278924,6,188,3,3,True,47
12256189,75,113,19679341,43,111,1,1,False,5
5183481,5,209,67023293,3,365,3,3,False,19
62431405,7,81,24038822,74,368,2,2,False,8
67269674,67,229,49658815,10,94,2,2,False,9
42421206,25,237,47646541,0,175,4,4,False,9
93635,122,95,3300610,184,83,4,4,True,1118
7843572,83,292,1914895,131,240,3,3,True,671
17822046,7,78,3289706,53,81,1,1,False,4
57868455,3,326,1836709,36,427,4,4,True,1365
1110793,113,146,34359480,16,121,1,1,False,5
8676207,59,94,16188041,12,86,2,2,False,7
18843264,111,94,167544,510,182,2,2,False,11
10330522,43,102,20798835,16,95,2,2,False,8
53963313,68,82,31810546,2,114,4,4,False,18
43198,256,301,2271642,1014,1360,2,2,False,12
5716387,228,82,9382908,80,138,3,3,False,302
9462579,14,84,7134343,20,90,1,1,False,5
57381226,4,81,32328237,12,87,2,2,False,8
368004,349,85,44050902,28,98,2,2,False,8
676735,95,128,29127258,8,77,4,4,False,234
7811605,75,97,593811,86,107,1,1,False,4
620116,200,160,14650011,3,125,1,1,False,5
1894101,30,90,12073094,51,81,2,2,False,8
31931129,53,80,17289366,7,82,1,1,False,4
68536113,0,536,403401,300,245,1,1,False,7
2091605,102,213,18419834,58,108,3,3,True,253
6000172,1782,587,57703939,0,81,4,4,False,11
37503408,854,125,681888,620,102,1,1,False,5
24766021,190,146,8663094,22,80,1,1,False,4
192282,38,81,193473,193,157,3,4,True,273
19327881,44,77,758693,71,137,4,4,True,686
522604,377,161,49767732,4,104,1,1,False,5
183858,174,106,2731960,2,129,3,3,False,15
905533,60,87,2825174,167,79,3,3,True,412
2622088,98,101,49898282,17,145,2,2,False,8
1498028,43,144,522897,56,176,4,4,True,846
432721,362,109,3842892,4,337,1,1,False,5
3482531,65,83,5266869,20,139,1,1,False,4
158874,36,127,27763,514,214,3,4,True,559
14673671,6,93,1665670,206,79,1,1,False,5
17967,90,79,13680626,82,127,4,4,True,708
62971595,0,349,5117335,82,125,4,4,True,1755
109930,115,136,40249703,470,130,4,4,True,2461
2638169,98,90,2591668,24,88,2,2,False,8
2798502,540,212,36419010,19,225,4,4,True,1070
718025,45,155,21188633,586,236,1,1,False,5
8031924,50,279,4881667,49,159,2,2,False,10
365558,706,232,22704527,16,78,1,1,False,5
3310685,185,162,680047,9,79,2,2,False,8
7024317,14,79,606265,161,90,3,3,False,362
918652,63,81,35774945,4,80,2,2,False,8
51223464,15,129,26378,77,80,2,2,False,9
47799489,392,311,6200618,140,121,2,2,False,9
11793726,5,95,17610395,52,77,3,3,False,209
27498238,80,127,1176274,102,143,1,1,False,4
796389,60,88,65889889,3,79,3,3,False,19
1978074,285,262,42551231,11,254,3,3,False,48
63114369,6,89,32427390,40,87,2,2,False,8
56682473,5,93,340576,66,86,3,3,False,292
4459886,47,87,1086305,72,101,4,4,True,689
24050318,406,164,50393057,2,139,3,3,False,15
50890388,3,415,555817,155,112,3,3,True,671
15704241,78,211,44399484,451,207,2,2,False,11
39812052,20,79,626345,129,282,3,4,True,231
116636,117,98,1821662,23,85,2,2,False,8
21243283,32,112,64282063,13,580,4,4,False,427
43390018,43,134,19257283,0,129,3,3,False,8
60350895,12,91,93709,190,105,1,1,False,4
9628611,45,110,24232413,23,82,2,2,False,7
58774825,1,80,61859426,18,90,2,2,False,8
68116329,5,104,5931407,8,163,3,4,True,54
16622364,75,117,23319699,1,134,4,4,False,85
20922,814,158,33667007,106,87,2,2,False,9
1336632,144,83,9679,465,373,2,2,False,10
54195602,2,82,24803154,8,104,4,4,False,225
631422,407,227,44427650,21,96,1,1,False,6
896863,136,181,5500484,17,78,3,3,True,78
444870,16,79,43602,43,103,1,1,False,4
8556123,351,207,27133074,2,178,3,3,True,28
142049,397,275,64499867,77,88,1,1,False,5
37731694,187,211,1170144,52,94,4,4,True,1176
39093020,62,90,626999,92,91,3,3,True,409
581543,181,137,12271018,25,83,4,4,True,795
20348262,129,147,22367187,21,107,1,1,False,4
13234552,27,122,5596902,31,87,4,4,True,497
21274,2580,301,1057064,204,90,1,1,False,6
18623923,91,142,161266,878,292,2,4,True,12
18209830,33,101,1800240,10,137,1,1,False,4
3083013,28,103,39652706,18,177,4,4,False,299
386889,379,169,53723353,1,269,3,4,True,33
24283284,41,144,98963,146,95,1,1,False,5
32147304,12,81,2797545,15,168,3,3,False,64
15614107,59,191,63513061,5,78,2,2,False,8
35141631,4,145,50740708,5,561,1,1,False,5
13539481,143,86,7163899,10,195,4,4,True,407
385415,108,137,32889813,34,108,1,1,False,4
1665518,38,96,1114034,53,109,3,3,False,239
24977017,5,101,703423,355,101,4,4,True,1665
27566766,44,100,838401,137,115,1,1,False,4
