src,in_src,out_src,dst,in_dst,out_dst,bound,runtime,profit
1391550,100,114,22290125,13,246,4,187,0.51
2140375,69,104,22520,1240,140,1,6,0.43
51865850,16,109,63602312,1,78,1,5,2.09
6169421,67,89,2496332,6,86,1,5,2.12
107735,564,297,23884865,15,92,1,6,0.86
51440914,1,163,275659,59,113,1,5,2.16
4340603,39,90,100615,118,81,3,441,0.0
13655681,49,131,2703975,134,125,3,489,0.11
1742518,64,112,60884100,8,178,4,529,0.5
163588,535,416,60290832,9,94,1,6,1.47
100563,668,339,2596781,86,162,2,11,0.71
2180735,121,217,8341236,3,113,4,26,0.35
49824701,13,132,5593845,26,155,4,325,2.19
3087824,68,223,68964,35,88,4,902,0.25
11444405,6,83,16790451,70,113,3,267,2.96
39667676,1,88,32817094,7,115,3,31,1.81
254173,2545,223,96303,106,80,3,425,2.1
3450034,7,135,45438991,152,148,3,595,0.43
989383,21,128,38910166,102,138,4,831,1.43
32282725,9,106,763838,35,118,3,148,2.75
17735449,9,79,636225,94,100,3,360,0.09
3198118,5,517,149148,191,131,4,2770,1.26
44242485,95,167,15113266,4,296,1,4,2.52
1939386,4,97,65255079,30,122,4,500,2.02
1577989,110,250,33276,957,331,3,1180,0.01
42958821,6,109,182612,14,92,4,570,0.89
61816499,23,130,10486276,31,100,4,693,0.79
455199,60,98,17619205,7,80,2,9,1.56
1530101,93,223,17690046,4,173,1,5,1.91
9144443,1,200,16676604,105,318,2,10,1.97
16090138,176,101,2347842,105,104,3,435,2.27
1906770,18,78,26750,25149,718,3,185,0.32
13222213,208,121,29055790,64,100,1,5,3.24
11612803,10,115,3649538,5,152,4,425,0.64
12268172,35,86,34321513,4,132,4,377,3.69
62731370,6,106,273107,35,97,3,172,0.03
16014868,75,178,200842,619,309,2,12,0.19
15833588,5,84,1922265,30,84,4,541,1.65
57180,6509,619,1474167,563,87,1,7,0.53
20771957,3,100,34181799,8,77,1,4,0.57
38762966,1,1488,431971,139,104,4,648,3.06
2889029,89,81,140460,217,79,3,349,1.02
5775450,107,112,49686892,25,110,4,566,1.25
49477841,9,118,20505949,11,90,3,54,0.65
16841178,13,106,20586932,1,81,1,4,0.99
125789,70,148,31858605,202,548,1,5,1.18
84496,2183,468,2007274,34,87,1,6,0.12
17507160,9,78,187243,2219,415,3,461,1.49
19597983,26,89,266926,477,115,2,11,2.53
2512470,565,275,4981913,46,173,2,9,1.37
729998,118,80,3293104,58,84,4,574,1.29
14760159,4,98,3919325,18,1166,1,4,1.32
939203,100,144,2492165,58,79,3,256,1.77
16436120,16,79,1019157,225,190,1,4,2.03
2274336,50,188,109098,198,91,2,8,1.94
64524848,33,79,531897,41,117,4,457,0.98
28715,767,217,3739173,134,153,4,1582,0.94
10954017,139,77,2344177,62,135,1,4,0.04
46704308,2,93,28005,187,310,1,5,1.08
33016263,68,99,3582952,34,128,1,5,1.08
